Train,Epoch:,1,[168960/196000,(86%)],Ternary,accuracy:,53%,|,Relations,accuracy:,39%,|,Non-relations,accuracy:,58%
Train,Epoch:,1,[170240/196000,(87%)],Ternary,accuracy:,50%,|,Relations,accuracy:,39%,|,Non-relations,accuracy:,50%
Train,Epoch:,1,[171520/196000,(88%)],Ternary,accuracy:,59%,|,Relations,accuracy:,47%,|,Non-relations,accuracy:,53%
Train,Epoch:,1,[172800/196000,(88%)],Ternary,accuracy:,59%,|,Relations,accuracy:,41%,|,Non-relations,accuracy:,48%
Train,Epoch:,1,[174080/196000,(89%)],Ternary,accuracy:,53%,|,Relations,accuracy:,39%,|,Non-relations,accuracy:,56%
Train,Epoch:,1,[175360/196000,(89%)],Ternary,accuracy:,44%,|,Relations,accuracy:,42%,|,Non-relations,accuracy:,48%
Train,Epoch:,1,[176640/196000,(90%)],Ternary,accuracy:,48%,|,Relations,accuracy:,42%,|,Non-relations,accuracy:,44%
Train,Epoch:,1,[177920/196000,(91%)],Ternary,accuracy:,53%,|,Relations,accuracy:,47%,|,Non-relations,accuracy:,44%
Train,Epoch:,1,[179200/196000,(91%)],Ternary,accuracy:,50%,|,Relations,accuracy:,44%,|,Non-relations,accuracy:,56%
Train,Epoch:,1,[180480/196000,(92%)],Ternary,accuracy:,56%,|,Relations,accuracy:,39%,|,Non-relations,accuracy:,66%
Train,Epoch:,1,[181760/196000,(93%)],Ternary,accuracy:,59%,|,Relations,accuracy:,36%,|,Non-relations,accuracy:,47%
Train,Epoch:,1,[183040/196000,(93%)],Ternary,accuracy:,53%,|,Relations,accuracy:,41%,|,Non-relations,accuracy:,48%
Train,Epoch:,1,[184320/196000,(94%)],Ternary,accuracy:,59%,|,Relations,accuracy:,39%,|,Non-relations,accuracy:,55%
Train,Epoch:,1,[185600/196000,(95%)],Ternary,accuracy:,45%,|,Relations,accuracy:,44%,|,Non-relations,accuracy:,48%
Train,Epoch:,1,[186880/196000,(95%)],Ternary,accuracy:,52%,|,Relations,accuracy:,44%,|,Non-relations,accuracy:,45%
Train,Epoch:,1,[188160/196000,(96%)],Ternary,accuracy:,62%,|,Relations,accuracy:,41%,|,Non-relations,accuracy:,47%
Train,Epoch:,1,[189440/196000,(97%)],Ternary,accuracy:,48%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,48%
Train,Epoch:,1,[190720/196000,(97%)],Ternary,accuracy:,44%,|,Relations,accuracy:,55%,|,Non-relations,accuracy:,56%
Train,Epoch:,1,[192000/196000,(98%)],Ternary,accuracy:,59%,|,Relations,accuracy:,36%,|,Non-relations,accuracy:,58%
Train,Epoch:,1,[193280/196000,(99%)],Ternary,accuracy:,55%,|,Relations,accuracy:,50%,|,Non-relations,accuracy:,55%
Train,Epoch:,1,[194560/196000,(99%)],Ternary,accuracy:,55%,|,Relations,accuracy:,41%,|,Non-relations,accuracy:,44%
Train,Epoch:,1,[195840/196000,(100%)],Ternary,accuracy:,55%,|,Relations,accuracy:,44%,|,Non-relations,accuracy:,42%
,,,,,,,,,,,,,,,
,Test,set:,Ternary,accuracy:,54%,Binary,accuracy:,44%,|,Unary,accuracy:,50%,,,
,,,,,,,,,,,,,,,
Train,Epoch:,2,[0/196000,(0%)],Ternary,accuracy:,50%,|,Relations,accuracy:,53%,|,Non-relations,accuracy:,58%
Train,Epoch:,2,[1280/196000,(1%)],Ternary,accuracy:,53%,|,Relations,accuracy:,36%,|,Non-relations,accuracy:,41%
Train,Epoch:,2,[2560/196000,(1%)],Ternary,accuracy:,50%,|,Relations,accuracy:,45%,|,Non-relations,accuracy:,48%
Train,Epoch:,2,[3840/196000,(2%)],Ternary,accuracy:,48%,|,Relations,accuracy:,44%,|,Non-relations,accuracy:,45%
Train,Epoch:,2,[5120/196000,(3%)],Ternary,accuracy:,45%,|,Relations,accuracy:,38%,|,Non-relations,accuracy:,48%
Train,Epoch:,2,[6400/196000,(3%)],Ternary,accuracy:,47%,|,Relations,accuracy:,55%,|,Non-relations,accuracy:,56%
Train,Epoch:,2,[7680/196000,(4%)],Ternary,accuracy:,59%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,55%
Train,Epoch:,2,[8960/196000,(5%)],Ternary,accuracy:,64%,|,Relations,accuracy:,50%,|,Non-relations,accuracy:,45%
Train,Epoch:,2,[10240/196000,(5%)],Ternary,accuracy:,61%,|,Relations,accuracy:,45%,|,Non-relations,accuracy:,48%
Train,Epoch:,2,[11520/196000,(6%)],Ternary,accuracy:,44%,|,Relations,accuracy:,41%,|,Non-relations,accuracy:,52%
Train,Epoch:,2,[12800/196000,(7%)],Ternary,accuracy:,61%,|,Relations,accuracy:,47%,|,Non-relations,accuracy:,41%
Train,Epoch:,2,[14080/196000,(7%)],Ternary,accuracy:,53%,|,Relations,accuracy:,55%,|,Non-relations,accuracy:,44%
Train,Epoch:,2,[15360/196000,(8%)],Ternary,accuracy:,59%,|,Relations,accuracy:,42%,|,Non-relations,accuracy:,45%
Train,Epoch:,2,[16640/196000,(8%)],Ternary,accuracy:,59%,|,Relations,accuracy:,44%,|,Non-relations,accuracy:,58%
Train,Epoch:,2,[17920/196000,(9%)],Ternary,accuracy:,58%,|,Relations,accuracy:,42%,|,Non-relations,accuracy:,42%
Train,Epoch:,2,[19200/196000,(10%)],Ternary,accuracy:,50%,|,Relations,accuracy:,47%,|,Non-relations,accuracy:,47%
Train,Epoch:,2,[20480/196000,(10%)],Ternary,accuracy:,45%,|,Relations,accuracy:,42%,|,Non-relations,accuracy:,41%
Train,Epoch:,2,[21760/196000,(11%)],Ternary,accuracy:,61%,|,Relations,accuracy:,41%,|,Non-relations,accuracy:,52%
Train,Epoch:,2,[23040/196000,(12%)],Ternary,accuracy:,45%,|,Relations,accuracy:,47%,|,Non-relations,accuracy:,28%
Train,Epoch:,2,[24320/196000,(12%)],Ternary,accuracy:,47%,|,Relations,accuracy:,52%,|,Non-relations,accuracy:,59%
Train,Epoch:,2,[25600/196000,(13%)],Ternary,accuracy:,50%,|,Relations,accuracy:,47%,|,Non-relations,accuracy:,48%
Train,Epoch:,2,[26880/196000,(14%)],Ternary,accuracy:,50%,|,Relations,accuracy:,52%,|,Non-relations,accuracy:,67%
Train,Epoch:,2,[28160/196000,(14%)],Ternary,accuracy:,59%,|,Relations,accuracy:,42%,|,Non-relations,accuracy:,50%
Train,Epoch:,2,[29440/196000,(15%)],Ternary,accuracy:,45%,|,Relations,accuracy:,45%,|,Non-relations,accuracy:,42%
Train,Epoch:,2,[30720/196000,(16%)],Ternary,accuracy:,58%,|,Relations,accuracy:,36%,|,Non-relations,accuracy:,59%
Train,Epoch:,2,[32000/196000,(16%)],Ternary,accuracy:,56%,|,Relations,accuracy:,42%,|,Non-relations,accuracy:,44%
Train,Epoch:,2,[33280/196000,(17%)],Ternary,accuracy:,50%,|,Relations,accuracy:,36%,|,Non-relations,accuracy:,41%
Train,Epoch:,2,[34560/196000,(18%)],Ternary,accuracy:,39%,|,Relations,accuracy:,41%,|,Non-relations,accuracy:,47%
Train,Epoch:,2,[35840/196000,(18%)],Ternary,accuracy:,45%,|,Relations,accuracy:,41%,|,Non-relations,accuracy:,61%
Train,Epoch:,2,[37120/196000,(19%)],Ternary,accuracy:,53%,|,Relations,accuracy:,53%,|,Non-relations,accuracy:,47%
Train,Epoch:,2,[38400/196000,(20%)],Ternary,accuracy:,48%,|,Relations,accuracy:,39%,|,Non-relations,accuracy:,55%
